"Private" "Apps" "Accept" "Enroll" "Expend" "Grad.Rate" "Top25perc" "lat" "lng" "Name" "mappop"
"Bucknell University" "Private" 6548 3813 862 13675 93 85 40.9551414 -76.8849629 "Bucknell University" "<b>Bucknell University</b><br><b>Private</b><br><b>Applications: </b>6548<br><b>Applicatants accepted: </b>3813<br><b>Enrollments: </b>862"
"Buena Vista College" "Private" 860 688 285 6333 78 70 42.6407222 -95.21007 "Buena Vista College" "<b>Buena Vista College</b><br><b>Private</b><br><b>Applications: </b>860<br><b>Applicatants accepted: </b>688<br><b>Enrollments: </b>285"
"Butler University" "Private" 2362 2037 700 9511 83 68 39.8396005 -86.1697197 "Butler University" "<b>Butler University</b><br><b>Private</b><br><b>Applications: </b>2362<br><b>Applicatants accepted: </b>2037<br><b>Enrollments: </b>700"
"Cabrini College" "Private" 599 494 224 7117 71 28 40.055389 -75.374499 "Cabrini College" "<b>Cabrini College</b><br><b>Private</b><br><b>Applications: </b>599<br><b>Applicatants accepted: </b>494<br><b>Enrollments: </b>224"
"Caldwell College" "Private" 1011 604 213 7922 55 42 40.8343983 -74.272567 "Caldwell College" "<b>Caldwell College</b><br><b>Private</b><br><b>Applications: </b>1011<br><b>Applicatants accepted: </b>604<br><b>Enrollments: </b>213"
"California Lutheran University" "Private" 563 247 247 8985 60 52 34.2255289 -118.8789111 "California Lutheran University" "<b>California Lutheran University</b><br><b>Private</b><br><b>Applications: </b>563<br><b>Applicatants accepted: </b>247<br><b>Enrollments: </b>247"
"California Polytechnic-San Luis" "Public" 7811 3817 1650 8453 59 73 35.3050053 -120.6624942 "California Polytechnic-San Luis" "<b>California Polytechnic-San Luis</b><br><b>Public</b><br><b>Applications: </b>7811<br><b>Applicatants accepted: </b>3817<br><b>Enrollments: </b>1650"
"California State University at Fresno" "Public" 4540 3294 1483 7268 61 60 36.8117049 -119.7496487 "California State University at Fresno" "<b>California State University at Fresno</b><br><b>Public</b><br><b>Applications: </b>4540<br><b>Applicatants accepted: </b>3294<br><b>Enrollments: </b>1483"
"Calvin College" "Private" 1784 1512 913 7786 81 56 42.9306576 -85.5879416 "Calvin College" "<b>Calvin College</b><br><b>Private</b><br><b>Applications: </b>1784<br><b>Applicatants accepted: </b>1512<br><b>Enrollments: </b>913"
"Campbell University" "Private" 2087 1339 657 3739 63 54 35.408161 -78.73976 "Campbell University" "<b>Campbell University</b><br><b>Private</b><br><b>Applications: </b>2087<br><b>Applicatants accepted: </b>1339<br><b>Enrollments: </b>657"
"Campbellsville College" "Private" 848 587 298 5391 49 55 37.3429502 -85.349153 "Campbellsville College" "<b>Campbellsville College</b><br><b>Private</b><br><b>Applications: </b>848<br><b>Applicatants accepted: </b>587<br><b>Enrollments: </b>298"
"Canisius College" "Private" 2853 2193 753 7972 64 34 42.9248338 -78.8514848 "Canisius College" "<b>Canisius College</b><br><b>Private</b><br><b>Applications: </b>2853<br><b>Applicatants accepted: </b>2193<br><b>Enrollments: </b>753"
"Capital University" "Private" 1747 1382 449 9557 83 66 39.9552588 -82.9373833 "Capital University" "<b>Capital University</b><br><b>Private</b><br><b>Applications: </b>1747<br><b>Applicatants accepted: </b>1382<br><b>Enrollments: </b>449"
"Capitol College" "Private" 100 90 35 7976 52 52 39.0462591 -76.8511952 "Capitol College" "<b>Capitol College</b><br><b>Private</b><br><b>Applications: </b>100<br><b>Applicatants accepted: </b>90<br><b>Enrollments: </b>35"
"Carleton College" "Private" 2694 1579 489 17960 91 93 44.461333 -93.1556063 "Carleton College" "<b>Carleton College</b><br><b>Private</b><br><b>Applications: </b>2694<br><b>Applicatants accepted: </b>1579<br><b>Enrollments: </b>489"
"Carnegie Mellon University" "Private" 8728 5201 1191 24386 74 89 40.4424925 -79.9425528 "Carnegie Mellon University" "<b>Carnegie Mellon University</b><br><b>Private</b><br><b>Applications: </b>8728<br><b>Applicatants accepted: </b>5201<br><b>Enrollments: </b>1191"
"Carroll College" "Private" 1160 991 352 7666 79 55 46.6008648 -112.0391321 "Carroll College" "<b>Carroll College</b><br><b>Private</b><br><b>Applications: </b>1160<br><b>Applicatants accepted: </b>991<br><b>Enrollments: </b>352"
"Carson-Newman College" "Private" 1096 951 464 6716 67 62 36.122362 -83.490358 "Carson-Newman College" "<b>Carson-Newman College</b><br><b>Private</b><br><b>Applications: </b>1096<br><b>Applicatants accepted: </b>951<br><b>Enrollments: </b>464"
"Carthage College" "Private" 1616 1427 434 7364 62 43 42.6235188 -87.8199047 "Carthage College" "<b>Carthage College</b><br><b>Private</b><br><b>Applications: </b>1616<br><b>Applicatants accepted: </b>1427<br><b>Enrollments: </b>434"
"Case Western Reserve University" "Private" 3877 3156 713 19733 67 93 41.5043413 -81.6083838 "Case Western Reserve University" "<b>Case Western Reserve University</b><br><b>Private</b><br><b>Applications: </b>3877<br><b>Applicatants accepted: </b>3156<br><b>Enrollments: </b>713"
"Castleton State College" "Public" 1257 940 363 6318 79 22 43.609231 -73.177708 "Castleton State College" "<b>Castleton State College</b><br><b>Public</b><br><b>Applications: </b>1257<br><b>Applicatants accepted: </b>940<br><b>Enrollments: </b>363"
"Catawba College" "Private" 1083 880 291 8425 55 34 35.6914474 -80.4827786 "Catawba College" "<b>Catawba College</b><br><b>Private</b><br><b>Applications: </b>1083<br><b>Applicatants accepted: </b>880<br><b>Enrollments: </b>291"
"Catholic University of America" "Private" 1754 1465 505 12751 75 49 38.9368811 -76.998692 "Catholic University of America" "<b>Catholic University of America</b><br><b>Private</b><br><b>Applications: </b>1754<br><b>Applicatants accepted: </b>1465<br><b>Enrollments: </b>505"
"Cazenovia College" "Private" 3847 3433 527 7697 118 35 42.9325002 -75.8549308 "Cazenovia College" "<b>Cazenovia College</b><br><b>Private</b><br><b>Applications: </b>3847<br><b>Applicatants accepted: </b>3433<br><b>Enrollments: </b>527"
"Cedar Crest College" "Private" 776 607 198 10961 74 58 40.5859377 -75.5196631 "Cedar Crest College" "<b>Cedar Crest College</b><br><b>Private</b><br><b>Applications: </b>776<br><b>Applicatants accepted: </b>607<br><b>Enrollments: </b>198"
"Cedarville College" "Private" 1307 1090 616 6897 64 55 39.7506658 -83.8105319 "Cedarville College" "<b>Cedarville College</b><br><b>Private</b><br><b>Applications: </b>1307<br><b>Applicatants accepted: </b>1090<br><b>Enrollments: </b>616"
"Centenary College" "Private" 369 312 90 9583 24 46 40.8462734 -74.8346863 "Centenary College" "<b>Centenary College</b><br><b>Private</b><br><b>Applications: </b>369<br><b>Applicatants accepted: </b>312<br><b>Enrollments: </b>90"
"Centenary College of Louisiana" "Private" 495 434 210 9685 66 55 32.4830228 -93.7334805 "Centenary College of Louisiana" "<b>Centenary College of Louisiana</b><br><b>Private</b><br><b>Applications: </b>495<br><b>Applicatants accepted: </b>434<br><b>Enrollments: </b>210"
"Center for Creative Studies" "Private" 601 396 203 13025 47 20 42.3613504 -83.0628312 "Center for Creative Studies" "<b>Center for Creative Studies</b><br><b>Private</b><br><b>Applications: </b>601<br><b>Applicatants accepted: </b>396<br><b>Enrollments: </b>203"
"Central College" "Private" 1283 1113 401 8444 67 65 41.4046513 -92.9275856 "Central College" "<b>Central College</b><br><b>Private</b><br><b>Applications: </b>1283<br><b>Applicatants accepted: </b>1113<br><b>Enrollments: </b>401"
"Central Connecticut State University" "Public" 4158 2532 902 4900 49 24 41.6906682 -72.7665496 "Central Connecticut State University" "<b>Central Connecticut State University</b><br><b>Public</b><br><b>Applications: </b>4158<br><b>Applicatants accepted: </b>2532<br><b>Enrollments: </b>902"
"Central Missouri State University" "Public" 4681 4101 1436 5501 50 35 38.7580227 -93.739526 "Central Missouri State University" "<b>Central Missouri State University</b><br><b>Public</b><br><b>Applications: </b>4681<br><b>Applicatants accepted: </b>4101<br><b>Enrollments: </b>1436"
"Central Washington University" "Public" 2785 2011 1007 6413 51 65 47.0039381 -120.5399544 "Central Washington University" "<b>Central Washington University</b><br><b>Public</b><br><b>Applications: </b>2785<br><b>Applicatants accepted: </b>2011<br><b>Enrollments: </b>1007"
"Central Wesleyan College" "Private" 174 146 88 3365 58 29 34.72798 -82.7623707 "Central Wesleyan College" "<b>Central Wesleyan College</b><br><b>Private</b><br><b>Applications: </b>174<br><b>Applicatants accepted: </b>146<br><b>Enrollments: </b>88"
"Centre College" "Private" 1013 888 288 13118 74 82 37.6457214 -84.782037 "Centre College" "<b>Centre College</b><br><b>Private</b><br><b>Applications: </b>1013<br><b>Applicatants accepted: </b>888<br><b>Enrollments: </b>288"
"Chapman University" "Private" 959 771 351 12692 47 48 33.7924581 -117.8512582 "Chapman University" "<b>Chapman University</b><br><b>Private</b><br><b>Applications: </b>959<br><b>Applicatants accepted: </b>771<br><b>Enrollments: </b>351"
"Chatham College" "Private" 212 197 91 16095 52 56 40.4475765 -79.9234461 "Chatham College" "<b>Chatham College</b><br><b>Private</b><br><b>Applications: </b>212<br><b>Applicatants accepted: </b>197<br><b>Enrollments: </b>91"
"Chestnut Hill College" "Private" 342 254 126 7729 73 64 40.0862493 -75.2282159 "Chestnut Hill College" "<b>Chestnut Hill College</b><br><b>Private</b><br><b>Applications: </b>342<br><b>Applicatants accepted: </b>254<br><b>Enrollments: </b>126"
"Christendom College" "Private" 81 72 51 10922 58 71 38.949664 -78.146138 "Christendom College" "<b>Christendom College</b><br><b>Private</b><br><b>Applications: </b>81<br><b>Applicatants accepted: </b>72<br><b>Enrollments: </b>51"
"Christian Brothers University" "Private" 880 520 224 8129 63 42 35.127385 -89.982519 "Christian Brothers University" "<b>Christian Brothers University</b><br><b>Private</b><br><b>Applications: </b>880<br><b>Applicatants accepted: </b>520<br><b>Enrollments: </b>224"
"Christopher Newport University" "Public" 883 766 428 4639 48 37 37.0638735 -76.4938087 "Christopher Newport University" "<b>Christopher Newport University</b><br><b>Public</b><br><b>Applications: </b>883<br><b>Applicatants accepted: </b>766<br><b>Enrollments: </b>428"
"Claflin College" "Private" 1196 697 499 7083 21 47 33.4989574 -80.8542463 "Claflin College" "<b>Claflin College</b><br><b>Private</b><br><b>Applications: </b>1196<br><b>Applicatants accepted: </b>697<br><b>Enrollments: </b>499"
"Claremont McKenna College" "Private" 1860 767 227 18443 87 93 34.1016553 -117.7075909 "Claremont McKenna College" "<b>Claremont McKenna College</b><br><b>Private</b><br><b>Applications: </b>1860<br><b>Applicatants accepted: </b>767<br><b>Enrollments: </b>227"
